host,ID,ra,dec,morph,re,z
NGC5457,[MVA2014] DF 4,211.89083,54.71089,UDG,28.0,
NGC5457,[MVA2014] DF 5,211.1171,55.6167,UDG,38.0,
NGC5457,[MVA2014] DF 6,212.07792,55.19183,UDG,22.0,
NGC5457,[MVA2014] DF 7,211.44792,55.13258,UDG,20.0,
NGC253,NGC247,11.7834,-20.757,,247.88278667611021,
NGC253,dw0047m2623,11.8939,-26.3898,,26.298762796504782,
NGC253,dw0049m2100,12.4537,-21.0167,,36.33389325773992,
NGC253,dw0050m2444,12.5749,-24.7367,,89.1805589257109,
NGC253,dw0055m2309,13.7538,-23.1688,,16.17092905156309,
NGC253,dw0036m2828,9.1273,-28.4701,,18.05975845708425,
NGC628,dw0132p1422,23.2486,14.3736,,15.103566262965478,
NGC628,dw0133p1543,23.4842,15.7314,,4.526425226138941,
NGC628,dw0134p1544,23.5537,15.7463,,22.760909684236903,
NGC628,dw0134p1438,23.6741,14.6444,,10.51169365715755,
NGC628,dw0136p1628,24.0842,16.4701,,7.108429914370251,
NGC628,dw0138p1458,24.5024,14.9825,,7.37866425622929,
NGC628,UGC1171,24.9366,15.8993,,17.744684713478453,
NGC628,dw0139p1433,24.9611,14.5563,,5.465911805258265,
NGC628,dw0140p1556,25.0395,15.9394,,9.48987005200305,
NGC628,UGC1176,25.043,15.9054,,49.628114641253774,
NGC628,dw0143p1541,25.9012,15.6937,,30.35069452004357,
NGC628,dw0141p1651,25.4173,16.8721,,9.99444823719298,
NGC891,dw0221p4221,35.301,42.364,,11.60239535139917,
NGC891,UGC1807,35.3058,42.7629,,36.580339651760276,
NGC891,dw0222p4242,35.7298,42.7123,,25.74239062175933,
NGC891,dw0223p4314,35.8921,43.2395,,4.378603781736606,
NGC891,dw0224p4158,36.0968,41.9747,,3.7453346397499074,
NGC891,dw0225p4153,36.3192,41.8915,,3.964717163938158,
NGC891,dw0226p4206,36.669,42.1111,,3.3992982871643185,
NGC1023,dw0235p3850,38.976,38.8362,,10.56710468927432,
NGC1023,IC239,39.1162,38.969,,,
NGC1023,dw0237p3855,39.3276,38.9331,,18.36946764865968,
NGC1023,dw0237p3836,39.4144,38.6003,,10.866585321421548,
NGC1023,dw0239p3903,39.8432,39.0554,,6.654023316913542,
NGC1023,UGC2157,40.1044,38.563,,30.144411443746325,
NGC1023,dw0240p3903,40.1544,39.0593,,40.606400414452416,
NGC1023,dw0240p3922,40.1649,39.3792,,12.7368517857582,
NGC1023,dw0241p3904,40.2512,39.0727,,19.44839125056757,
NGC1023,UGC2165,40.3145,38.7441,,29.442317776328316,
NGC1023,dw0238p3805,39.6703,38.0849,,12.191440038470205,
NGC1023,dw0241p3829,40.4758,38.4983,,5.168520048845511,
NGC1023,dw0243p3915,40.979,39.2557,,5.071337592056013,
NGC1291,dw0309m4104,47.3549,-41.0826,,8.291481748919622,
NGC1291,dw0309m4101,47.4093,-41.0312,,93.64149606957935,
NGC1291,dw0310m4000,47.5432,-40.0035,,21.21937836072827,
NGC1291,dw0315m4040,48.7908,-40.6674,,17.337147591165632,
NGC1291,dw0317m4142,49.256,-41.7001,,15.826507765677542,
NGC1291,dw0317m4141,49.4083,-41.6962,,24.965310800171686,
NGC1291,dw0318m4211,49.6961,-42.1993,,7.598631904146886,
NGC1291,dw0319m4126,49.9305,-41.448,,18.936381331231225,
NGC1291,dw0321m4159,50.3521,-41.9982,,17.82327830192421,
NGC1291,dw0323m4040,50.8173,-40.6777,,13.625289734252027,
NGC1291,dw0325m4113,51.4098,-41.2304,,22.927650764889243,
NGC1291,dw0312m3955,48.038,-39.9179,,16.274020616235664,
NGC1291,dw0315m4112,48.9422,-41.2017,,21.376121440365385,
NGC1291,dw0316m4207,49.1818,-42.1284,,12.92789661180865,
NGC1291,dw0321m4149,50.4853,-41.8184,,11.469504479532924,
NGC1808,NGC1792,76.3077,-37.979,,62.33016044967424,
NGC1808,dw0507m3629,76.7765,-36.4834,,10.28881713831049,
NGC1808,dw0508m3818,77.0318,-38.3098,,262.0007097048021,
NGC1808,dw0508m3617,77.1269,-36.2869,,8.470400816282805,
NGC1808,dw0508m3808,77.1369,-38.1405,,9.10540334143533,
NGC1808,NGC1827,77.5208,-36.9611,,43.93729010574585,
NGC1808,dw0502m3845,75.6394,-38.7649,,6.094692068334548,
NGC1808,dw0507m3733,76.8724,-37.5541,,7.489033277410722,
NGC1808,dw0510m3717,77.7102,-37.2859,,6.334483231678857,
NGC2683,dw0848p3226,132.166,32.4442,,16.400246403093597,
NGC2683,dw0856p3155,134.108,31.9172,,9.60009071628773,
NGC2683,dw0846p3300,131.5588,32.9974,,38.34989381681387,
NGC2683,dw0846p3348,131.6301,33.8106,,19.972577302777353,
NGC2683,dw0852p3249,133.1987,32.8288,,7.741513153614425,
NGC2903,dw0929p2213,142.4777,22.2181,,9.531725879796376,
NGC2903,dw0930p1959,142.554,19.9913,,12.754040519612126,
NGC2903,dw0930p2143,142.6666,21.724,,6.199403343315508,
NGC2903,dw0932p1952,143.0991,19.8754,,7.081758347816975,
NGC2903,dw0933p2030,143.3069,20.5152,,10.173438610342895,
NGC2903,dw0936p2135,144.0891,21.5993,,7.824311650306521,
M81,M82,148.9683,69.6797,,,
M81,NGC3077,150.8296,68.7339,,65.41051251846979,
M81,NGC2976,146.8146,67.9164,,72.34695226317822,
M81,IC2574,157.1413,68.4328,,187.78667928302133,
M81,ddo82,157.6524,70.6183,,60.3138862810069,
M81,IKN,152.0246,68.3992,,65.41622622501403,
M81,FM1,146.2917,68.765,,42.81851684254127,
M81,kdg64,151.7579,67.8275,,54.65160309566418,
M81,f8d1,146.1962,67.4386,,58.26266563162442,
M81,d1014p68,153.7325,68.7575,,19.700860164542608,
M81,KK77,147.5417,67.5067,,54.52018784514663,
M81,kdg63,151.2804,66.555,,40.9215662698533,
M81,d0958p66,149.7021,66.8497,,13.07296057322317,
M81,ddo78,156.6163,67.6567,,79.75762965105868,
M81,d1028p70,157.1654,70.2336,,17.312530829049916,
M81,d0955p70,148.8067,70.4081,,18.598114801504117,
M81,d1041p70,160.32,70.1508,,10.901752086411634,
M81,HS117,155.355,71.1161,,31.922478462673894,
M81,d0926p70,141.6163,70.5067,,14.301407480234964,
M81,HO1,145.1346,71.1864,,84.0086273199739,
M81,d0934p70,143.5154,70.2158,,27.951452414426466,
NGC3115,dw1000m0741,150.0039,-7.6875,,12.36577735491171,
NGC3115,dw1000m0831,150.2289,-8.5305,,8.468990280027839,
NGC3115,dw1001m0631,150.3901,-6.5249,,18.430367099372905,
NGC3115,dw1001m0814,150.4092,-8.2487,,28.76382945155587,
NGC3115,dw1002m0818,150.5043,-8.31,,5.4862394053762,
NGC3115,dw1002m0642,150.657,-6.7083,,6.56002972025079,
NGC3115,dw1005m0758,151.4233,-7.9817,,30.096461876230734,
NGC3115,dw1007m0835,151.8142,-8.5859,,5.004954857466309,
NGC3115,dw1007m0830,151.9464,-8.5042,,7.9492838564444686,
NGC3115,dw1006m0630,151.5634,-6.5057,,4.222361916117031,
NGC3115,dw1006m0827,151.6488,-8.4648,,7.688419542661376,
NGC3344,dw1042p2415,160.5916,24.2505,,14.650682521115039,
NGC3344,dw1042p2501,160.6815,25.025,,7.654062667662108,
NGC3344,dw1045p2427,161.3793,24.4657,,9.183194836174188,
NGC3344,dw1038p2501,159.5427,25.0283,,3.5371683678218973,
NGC3344,dw1044p2559,161.1198,25.9934,,4.835250346036821,
NGC3344,dw1044p2610,161.1213,26.1782,,8.866025938584459,
NGC3344,dw1045p2606,161.2758,26.1048,,4.324839471107651,
NGC3379,UGC5812,160.2355,12.4728,,28.10598948675388,
NGC3379,dw1042p1220,160.5015,12.3351,,20.493468740307303,
NGC3379,dw1042p1359,160.6886,13.9905,,5.330113918441322,
NGC3379,dw1043p1410,160.7948,14.1799,,6.18987189588249,
NGC3379,dw1043p1415,160.9572,14.2554,,7.7667374240144955,
NGC3379,M95,160.9904,11.7037,,,
NGC3379,dw1044p1154,161.2394,11.9162,,10.90697452099132,
NGC3379,M96,161.6907,11.8199,,,
NGC3379,NGC3377,161.9264,13.9858,,,
NGC3379,NGC3384,162.0705,12.6292,,,
NGC3379,dw1048p1154,162.1039,11.9123,,24.751776749651565,
